,city,lat,long,rentIndex
0,Cambridge,42.3721995,-71.1143815,40.65
1,Philadelphia,39.9525762,-75.1652518,46.51
2,Singapore,37.580304,-122.343679,61.99
3,Los Angeles,37.446823,-122.161523,72.16
4,Boston,42.34914935,-71.062173275,73.94
5,Brooklyn,40.7149528333,-73.9684315,80.39
6,New York,40.7357815562,-73.97903525,100.0
7,San Francisco,37.7512359957,-122.3811524783,114.06
8,NYC,40.801358,-74.3372,
9,Mountain View,37.3995285833,-122.0672361667,
10,San Mateo,37.51425748,-122.25373152,
11,Redwood City,37.4747026667,-122.216019,
12,Palo Alto,37.4297035,-122.1542725,
13,Sunnyvale,37.39312155,-122.00949085,
14,San Bruno,37.627971,-122.426804,
15,Menlo Park,37.41924,-122.208414,
16,Emeryville,37.848641,-122.289498,
17,Los Gatos,37.25142,-121.968687,
18,Burlingame,37.590339,-122.341715,
19,Sausalito,37.862592,-122.493561,
20,Berkeley,37.87168,-122.269494,
21,Mill Valley,37.906966,-122.545763,
22,Santa Monica,34.019315225,-118.4875935,
23,Culver City,34.01004855,-118.39790865,
24,Brea,33.9133208,-117.8789031,
25,El Segundo,34.048857,-118.251343,
26,Beverly Hills,34.067554,-118.395658,
27,Century City,34.057646,-118.417382,
28,West Hollywood,34.0906409,-118.3740745,
29,Torrance,33.8231,-118.328584,
30,Waltham,42.417268,-71.258466,
31,Westwood,42.214483,-71.185964,
32,King of Prussia,40.099703,-75.39599,
